date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-21 04:31:05,ANI,,1730,1123,4958,"#WATCH Workers of Swabhimani Shetkari Sangathna spill milk on the streets of Sangli as a mark of protest. The organisation is demanding Rs 25 per litre as the minimum rate of cow milk, among others. #Maharashtrapic.twitter.com/0GSq9fb1aT",,,#WATCH #Maharashtrapic,1285432083209351169,https://twitter.com/ANI/status/1285432083209351169
2020-07-20 01:38:21,ANI,,584,4901,34848,"#WATCH 'Bhasma aarti' performed in the early morning hours at Ujjain's Mahakaleshwar temple on the third Monday of 'sawan' month, today. #MadhyaPradeshpic.twitter.com/5Fs58qVth1",,,#WATCH #MadhyaPradeshpic,1285026227112165376,https://twitter.com/ANI/status/1285026227112165376
2020-07-19 20:46:26,ANI,,149,1685,10982,"Odisha: A yellow turtle was rescued by locals from Sujanpur village in Balasore district. It was later handed over to Forest Department officials. B Acharya, Wildlife Warden says, ""This is a rare turtle, I have never seen one like this."" (19.07.20)pic.twitter.com/MWxjLzabyc",,,,1284952760492765184,https://twitter.com/ANI/status/1284952760492765184
2020-07-25 20:46:25,ANI,,26,347,2521,"Part 1 of phase-1 of vaccine trial (Covaxin) completed. 50 people across India were administered the vaccine, results encouraging. 6 people were administered vaccine today under part 2 of phase-1: Dr Savita Verma, Principal Investigator of vaccine trial team at PGI Rohtak (25.07)pic.twitter.com/TsZhOoZr2S",,,,1287127086742691840,https://twitter.com/ANI/status/1287127086742691840
2020-07-25 15:40:23,ANI,,37,350,2927,"United States' policy is crystal clear. South China Sea is not China’s maritime empire. If Beijing violates international law & free nations do nothing, history shows CCP will simply take more territory. China Sea disputes must be resolved through int'l law: US Secretary of Statepic.twitter.com/kqCaE5RuFv",,,,1287050068315578368,https://twitter.com/ANI/status/1287050068315578368
2020-07-24 17:56:35,ANI,,42,156,1405,"Government of India has extended medical assistance worth about US$1 million to Democratic People’s Republic of Korea (DPRK) in response to a request received from the World Health Organisation (WHO): Ministry of External Affairs (MEA)pic.twitter.com/MppcjN1ahK",,,,1286721956193026049,https://twitter.com/ANI/status/1286721956193026049
2020-07-24 10:44:53,ANI,,306,4779,27225,"#WATCH 85-year-old Shantabai Pawar performs 'Lathi Kathi' on streets of Pune to earn a livelihood. She says, ""I'm doing it since I was 8. My father taught me to work hard. People mostly remain indoors due to #COVID, so I clang utensil to alert them when I perform."" #Maharashtrapic.twitter.com/NCI7kcbKxT",,,#WATCH #COVID #Maharashtrapic,1286613316723335169,https://twitter.com/ANI/status/1286613316723335169
2020-07-24 07:10:42,ANI,,117,417,1599,"#WATCH Delhi: Toxic foam seen in river Yamuna at Okhla Barrage.pic.twitter.com/JinH1WCtti",,,#WATCH,1286559414804049920,https://twitter.com/ANI/status/1286559414804049920
2020-07-23 10:42:37,ANI,,105,515,5127,"Madhya Pradesh: Congress MLA from Mandhata, Narayan Patel resigns from his membership of the Legislative Assembly.",,,,1286250358931517440,https://twitter.com/ANI/status/1286250358931517440
2020-07-23 08:04:35,ANI,,73,545,3869,"Supreme Court says it will hear in the next two days a plea of 31 students challenging the latest University Grants Commission (UGC) circular on conducting of the final year examinations. The plea also seeks cancellations of the examinations.",,,,1286210588050251776,https://twitter.com/ANI/status/1286210588050251776
2020-07-23 06:33:30,ANI,,16,419,1874,"J&K: West Pakistani refugees in Jammu's Arnia are getting domicile certificates. Labaram Gandhi, President, West Pakistan Refugee Action Committee says,""We're happy. Without these, our children weren't able to get jobs. Due to abrogation of Article 35A, we're getting our rights.""pic.twitter.com/vZpKp4eVvs",,,,1286187667193921538,https://twitter.com/ANI/status/1286187667193921538
2020-07-22 14:25:59,ANI,,22,808,3100,"Important that democracies like ours work together at a time when we see true scope of challenge posed by Chinese Communist Party. Recent clashes initiated by PLA are examples of CCP's unacceptable behaviour. Deeply saddened by deaths of 20 Indian servicemembers: US Secy of Statepic.twitter.com/CX6fVLon6w",,,,1285944181299372033,https://twitter.com/ANI/status/1285944181299372033
2020-07-22 11:04:03,ANI,,93,186,1001,"Delhi: Part of Mahipalpur Bypass caved in following heavy rainfall in the national capital region today.pic.twitter.com/Z79oLBRs0y",,,,1285893364953407489,https://twitter.com/ANI/status/1285893364953407489
2020-07-20 22:35:46,ANI,,77,97,594,"Jammu & Kashmir: Lakes & Waterways Development Authority (LAWDA) has started dredging of Dal Lake's Teilbal settling basin. Tufail Matto, LAWDA Vice Chairman says, ""This settling basin hasn't been desilted for around 20 yrs. This process will take about a year to complete""(20.07)pic.twitter.com/ZttIVyx62n",,,,1285342666180276225,https://twitter.com/ANI/status/1285342666180276225
2020-07-20 14:35:32,ANI,,44,339,805,"Director General of Health Services, Ministry of Health has written to all states and UTs stating, ""the use of valved respirator N-95 masks is detrimental to the measures adopted for preventing spread of Coronavirus as it doesn't prevent the virus from escaping out of the mask.""pic.twitter.com/TEA8BAqxzz",,,,1285221808627572737,https://twitter.com/ANI/status/1285221808627572737
2020-07-20 04:10:22,ANI,,116,474,1676,"India's #COVID19 case tally crosses 11 lakh mark with highest single day spike of 40,425 new cases & 681 deaths reported in the last 24 hours. Total cases stand at 11,18,043 including 3,90,459 active cases, 7,00,087 cured/discharged/migrated & 27,497 deaths: Health Ministrypic.twitter.com/Zf5TOgWYuS",,,#COVID19,1285064483132411905,https://twitter.com/ANI/status/1285064483132411905
2020-07-19 20:11:45,ANI,,19,173,1155,"US: Members of the Indian-American community protest against China outside the Chinese Embassy in Washington DC.pic.twitter.com/oxLEipZN6R",,,,1284944034813710337,https://twitter.com/ANI/status/1284944034813710337
2020-07-19 17:16:33,ANI,,589,403,3826,"Rajasthan: Congress MLAs supporting Chief Minister Ashok Gehlot watch ‘Sholay’ at Hotel Fairmont in Jaipur.pic.twitter.com/ADag7RE4LB",,,,1284899945556803585,https://twitter.com/ANI/status/1284899945556803585
2020-07-19 14:32:28,ANI,,163,378,1682,"One Indian injured after Nepal Police shot at three Indian men near India-Nepal border in Kishanganj. Injured shifted to hospital. Investigation underway: SP Kishanganj, Biharpic.twitter.com/0eGnJyo1gd",,,,1284858650146729984,https://twitter.com/ANI/status/1284858650146729984
2020-07-19 04:03:33,ANI,,139,670,2477,"Highest single day spike of 38,902 cases and 543 deaths reported in India in the last 24 hours. Total #COVID19 positive cases stand at 10,77,618 including 3,73,379 active cases, 6,77,423 cured/discharged/migrated and 26,816 deaths: Ministry of Health and Family Welfarepic.twitter.com/u8im5qLQcI",,,#COVID19,1284700380719230977,https://twitter.com/ANI/status/1284700380719230977
2020-07-19 03:26:50,ANI,,28,475,3327,"At about 2:45 am boat naka party at Nangli Ghat observed some suspected items floating in Ravi river from Pakistan side to Indian side. Troops managed to seize suspected items&drag them to river bank. 60 packets of suspected narcotics/heroin, tied with a rope, found: BSF. #Punjabpic.twitter.com/l8m0E3I0H9",,,#Punjabpic,1284691139275001856,https://twitter.com/ANI/status/1284691139275001856
2020-07-18 08:53:21,ANI,,153,1714,12991,"#WATCH Defence Minister Rajnath Singh among troops during his visit to a forward post near LoC in Kupwara district, J&K, earlier today.pic.twitter.com/d2ggx21nLw",,,#WATCH,1284410919905189893,https://twitter.com/ANI/status/1284410919905189893
2020-07-17 16:31:09,ANI,,148,417,4036,"Mumbai: Actor Aishwarya Rai Bachchan admitted at Nanavati Hospital. Earlier, she was home quarantined after she tested positive for #COVID19. (File pic)pic.twitter.com/KIhw7OsgHc",,,#COVID19,1284163741584461826,https://twitter.com/ANI/status/1284163741584461826
2020-07-25 16:29:23,ANI,,116,126,2016,"Prime Minister Narendra Modi to address the nation through his radio programme 'Mann Ki Baat' at 11 AM tomorrow. (file pic)pic.twitter.com/kuqCiUMNpv",,,,1287062400500248576,https://twitter.com/ANI/status/1287062400500248576
